learnable	normalized	partOfSpeech	source
веществами	veshchestvami		Duolingo
вещество	veshchestvo		Duolingo
вещи	veshchi		Duolingo
вещь	veshch'		Duolingo
взрослые	vzroslye		Duolingo
взрослый	vzroslyi		Duolingo
взрослых	vzroslykh		Duolingo
взял	vzial		Duolingo
взяла	vziala		Duolingo
взяли	vziali		Duolingo
вид	vid		Duolingo
видел	videl		Duolingo
видела	videla		Duolingo
видели	videli		Duolingo
видео	video		Duolingo
видим	vidim		Duolingo
видит	vidit		Duolingo
видите	vidite		Duolingo
видишь	vidish'		Duolingo
видов	vidov		Duolingo
виды	vidy		Duolingo
видят	vidiat		Duolingo
вижу	vizhu		Duolingo
вилка	vilka		Duolingo
вилки	vilki		Duolingo
вилкой	vilkoi		Duolingo
вилок	vilok		Duolingo
вина	vina		Duolingo
вино	vino		Duolingo
виновен	vinoven		Duolingo
виновна	vinovna		Duolingo
виновны	vinovny		Duolingo
висел	visel		Duolingo
висела	visela		Duolingo
висеть	viset'		Duolingo
висит	visit		Duolingo
включи	vkliuchi		Duolingo
включил	vkliuchil		Duolingo
включила	vkliuchila		Duolingo
включите	vkliuchite		Duolingo
включить	vkliuchit'		Duolingo
вкусная	vkusnaia		Duolingo
вкусное	vkusnoe		Duolingo
вкусные	vkusnye		Duolingo
вкусный	vkusnyi		Duolingo
власти	vlasti		Duolingo
власть	vlast'		Duolingo
вместе	vmeste		Duolingo
вместо	vmesto		Duolingo
внимателен	vnimatelen		Duolingo
внимательна	vnimatel'na		Duolingo
внимательны	vnimatel'ny		Duolingo
внук	vnuk		Duolingo
внуки	vnuki		Duolingo
внучка	vnuchka		Duolingo
во-вторых	vo-vtorykh		Duolingo
во-первых	vo-pervykh		Duolingo
вовремя	vovremia		Duolingo
вода	voda		Duolingo
водород	vodorod		Duolingo
водорода	vodoroda		Duolingo
воду	vodu		Duolingo
воды	vody		Duolingo
возвращалась	vozvrashchalas'		Duolingo
возвращаться	vozvrashchat'sia		Duolingo
возвращаюсь	vozvrashchaius'		Duolingo
возле	vozle		Duolingo
возможность	vozmozhnost'		Duolingo
возьми	voz'mi		Duolingo
возьмите	voz'mite		Duolingo
воин	voin		Duolingo
воином	voinom		Duolingo
войду	voidu		Duolingo
война	voina		Duolingo
войне	voine		Duolingo
войну	voinu		Duolingo
войны	voiny		Duolingo
войти	voiti		Duolingo
вокруг	vokrug		Duolingo
волейбол	voleibol		Duolingo
волейболе	voleibole		Duolingo
волейболом	voleibolom		Duolingo
волк	volk		Duolingo
волосы	volosy		Duolingo
волшебник	volshebnik		Duolingo
волшебников	volshebnikov		Duolingo
вон	von		Duolingo
вообще-то	voobshche-to		Duolingo
вопрос	vopros		Duolingo
вопросы	voprosy		Duolingo
вор	vor		Duolingo
вора	vora		Duolingo
воре	vore		Duolingo
восемнадцать	vosemnadtsat'		Duolingo
восемь	vosem'		Duolingo
восемьдесят	vosem'desiat		Duolingo
воскресенье	voskresen'e		Duolingo
воскресенью	voskresen'iu		Duolingo
воскресеньям	voskresen'iam		Duolingo
восстание	vosstanie		Duolingo
восстании	vosstanii		Duolingo
восстановили	vosstanovili		Duolingo
восстановить	vosstanovit'		Duolingo
восток	vostok		Duolingo
востоке	vostoke		Duolingo
восточной	vostochnoi		Duolingo
восточную	vostochnuiu		Duolingo
восьмидесяти	vos'midesiati		Duolingo
восьмой	vos'moi		Duolingo
вот	vot		Duolingo
вошла	voshla		Duolingo
вошли	voshli		Duolingo
впереди	vperedi		Duolingo
враг	vrag		Duolingo
врага	vraga		Duolingo
враги	vragi		Duolingo
врагов	vragov		Duolingo
врач	vrach		Duolingo
врача	vracha		Duolingo
врачом	vrachom		Duolingo
вращается	vrashchaetsia		Duolingo
вредная	vrednaia		Duolingo
вредную	vrednuiu		Duolingo
времени	vremeni		Duolingo
время	vremia		Duolingo
всё	vse		Duolingo
всё равно	vse ravno		Duolingo
всегда	vsegda		Duolingo
всего	vsego		Duolingo
вселенная	vselennaia		Duolingo
вселенной	vselennoi		Duolingo
всем	vsem		Duolingo
всему	vsemu		Duolingo
всех	vsekh		Duolingo
вспоминаем	vspominaem		Duolingo
вспоминает	vspominaet		Duolingo
вспоминаете	vspominaete		Duolingo
вспоминаю	vspominaiu		Duolingo
вставать	vstavat'		Duolingo
вставил	vstavil		Duolingo
вставить	vstavit'		Duolingo
вставь	vstav'		Duolingo
встаёт	vstaet		Duolingo
встал	vstal		Duolingo
встала	vstala		Duolingo
встанем	vstanem		Duolingo
встань	vstan'		Duolingo
встаньте	vstan'te		Duolingo
встать	vstat'		Duolingo
встаю	vstaiu		Duolingo
встретил	vstretil		Duolingo
встретила	vstretila		Duolingo
встретили	vstretili		Duolingo
встретились	vstretilis'		Duolingo
встретиться	vstretit'sia		Duolingo
встречается	vstrechaetsia		Duolingo
встречаться	vstrechat'sia		Duolingo
встречаются	vstrechaiutsia		Duolingo
вся	vsia		Duolingo
вторник	vtornik		Duolingo
второй	vtoroi		Duolingo
вход	vkhod		Duolingo
входа	vkhoda		Duolingo
вчера	vchera		Duolingo
вы	vy		Duolingo
выборах	vyborakh		Duolingo
выборы	vybory		Duolingo
выбрал	vybral		Duolingo
выбрала	vybrala		Duolingo
выбрать	vybrat'		Duolingo
выиграл	vyigral		Duolingo
выиграла	vyigrala		Duolingo
выиграли	vyigrali		Duolingo
выйду	vyidu		Duolingo
выйти	vyiti		Duolingo
выключи	vykliuchi		Duolingo
выключил	vykliuchil		Duolingo
выключила	vykliuchila		Duolingo
выключили	vykliuchili		Duolingo
выключить	vykliuchit'		Duolingo
выпил	vypil		Duolingo
выпила	vypila		Duolingo
выпьем	vyp'em		Duolingo
выпьет	vyp'et		Duolingo
выпью	vyp'iu		Duolingo
вырос	vyros		Duolingo
выросла	vyrosla		Duolingo
высокая	vysokaia		Duolingo
высокие	vysokie		Duolingo
высокий	vysokii		Duolingo
высокое	vysokoe		Duolingo
выставка	vystavka		Duolingo
выстрелил	vystrelil		Duolingo
выступал	vystupal		Duolingo
выступать	vystupat'		Duolingo
выступили	vystupili		Duolingo
выступит	vystupit		Duolingo
выступят	vystupiat		Duolingo
выход	vykhod		Duolingo
выхода	vykhoda		Duolingo
выходные	vykhodnye		Duolingo
выходным	vykhodnym		Duolingo
выходом	vykhodom		Duolingo
выше	vyshe		Duolingo
вышедшая	vyshedshaia		Duolingo
вышедшего	vyshedshego		Duolingo
вышедший	vyshedshii		Duolingo
вышедших	vyshedshikh		Duolingo
вышел	vyshel		Duolingo
газ	gaz		Duolingo
газета	gazeta		Duolingo
газету	gazetu		Duolingo
газеты	gazety		Duolingo
газы	gazy		Duolingo
галерее	galeree		Duolingo
галерея	galereia		Duolingo
гараж	garazh		Duolingo
гараже	garazhe		Duolingo
где	gde		Duolingo
где-нибудь	gde-nibud'		Duolingo
где-то	gde-to		Duolingo
германии	germanii		Duolingo
германию	germaniiu		Duolingo
германия	germaniia		Duolingo
герой	geroi		Duolingo
гитара	gitara		Duolingo
гитаре	gitare		Duolingo
гитару	gitaru		Duolingo
глава	glava		Duolingo
главное	glavnoe		Duolingo
главный	glavnyi		Duolingo
главными	glavnymi		Duolingo
главой	glavoi		Duolingo
глаз	glaz		Duolingo
глаза	glaza		Duolingo
глубина	glubina		Duolingo
глубине	glubine		Duolingo
глубиной	glubinoi		Duolingo
глупая	glupaia		Duolingo
глупое	glupoe		Duolingo
глупые	glupye		Duolingo
глупый	glupyi		Duolingo
говори	govori		Duolingo
говорил	govoril		Duolingo
говорила	govorila		Duolingo
говорили	govorili		Duolingo
говорим	govorim		Duolingo
говорит	govorit		Duolingo
говорите	govorite		Duolingo
говорить	govorit'		Duolingo
говоришь	govorish'		Duolingo
говорю	govoriu		Duolingo
говорят	govoriat		Duolingo
говорящая	govoriashchaia		Duolingo
говорящего	govoriashchego		Duolingo
говорящую	govoriashchuiu		Duolingo
год	god		Duolingo
года	goda		Duolingo
году	godu		Duolingo
голова	golova		Duolingo
головы	golovy		Duolingo
голос	golos		Duolingo
голосовали	golosovali		Duolingo
голосовать	golosovat'		Duolingo
голуби	golubi		Duolingo
голубь	golub'		Duolingo
голубя	golubia		Duolingo
гор	gor		Duolingo
гора	gora		Duolingo
гораздо	gorazdo		Duolingo
горе	gore		Duolingo
город	gorod		Duolingo
города	goroda		Duolingo
городе	gorode		Duolingo
городу	gorodu		Duolingo
горы	gory		Duolingo
горячая	goriachaia		Duolingo
горячее	goriachee		Duolingo
горячий	goriachii		Duolingo
гости	gosti		Duolingo
гостиниц	gostinits		Duolingo
гостиница	gostinitsa		Duolingo
гостиницы	gostinitsy		Duolingo
гость	gost'		Duolingo
государства	gosudarstva		Duolingo
готов	gotov		Duolingo
готова	gotova		Duolingo
готовилась	gotovilas'		Duolingo
готовим	gotovim		Duolingo
готовит	gotovit		Duolingo
готовите	gotovite		Duolingo
готовить	gotovit'		Duolingo
готовиться	gotovit'sia		Duolingo
готовишь	gotovish'		Duolingo
готовлю	gotovliu		Duolingo
готовлюсь	gotovlius'		Duolingo
готово	gotovo		Duolingo
готовят	gotoviat		Duolingo
градуса	gradusa		Duolingo
градусов	gradusov		Duolingo
граница	granitsa		Duolingo
границей	granitsei		Duolingo
границу	granitsu		Duolingo
греции	gretsii		Duolingo
грецию	gretsiiu		Duolingo
греция	gretsiia		Duolingo
грибы	griby		Duolingo
громкая	gromkaia		Duolingo
громкий	gromkii		Duolingo
громкую	gromkuiu		Duolingo
груди	grudi		Duolingo
группа	gruppa		Duolingo
группе	gruppe		Duolingo
грустная	grustnaia		Duolingo
грустно	grustno		Duolingo
грустную	grustnuiu		Duolingo
грустный	grustnyi		Duolingo
грязно	griazno		Duolingo
гуляем	guliaem		Duolingo
гуляет	guliaet		Duolingo
гуляешь	guliaesh'		Duolingo
гуляла	guliala		Duolingo
гулять	guliat'		Duolingo
гуляя	guliaia		Duolingo
да	da		Duolingo
да здравствует	da zdravstvuet		Duolingo
давай	davai		Duolingo
давайте	davaite		Duolingo
давление	davlenie		Duolingo
давлении	davlenii		Duolingo
давления	davleniia		Duolingo
давно	davno		Duolingo
даёт	daet		Duolingo
даже	dazhe		Duolingo
дай	dai		Duolingo
дайте	daite		Duolingo
дал	dal		Duolingo
дала	dala		Duolingo
далеко	daleko		Duolingo
дам	dam		Duolingo
данные	dannye		Duolingo
данным	dannym		Duolingo
данных	dannykh		Duolingo
даст	dast		Duolingo
дают	daiut		Duolingo
два	dva		Duolingo
двадцатого	dvadtsatogo		Duolingo
двадцатом	dvadtsatom		Duolingo
двадцатый	dvadtsatyi		Duolingo
двадцать	dvadtsat'		Duolingo
две	dve		Duolingo
двенадцать	dvenadtsat'		Duolingo
двери	dveri		Duolingo
дверь	dver'		Duolingo
дверью	dver'iu		Duolingo
двести	dvesti		Duolingo
двигается	dvigaetsia		Duolingo
движется	dvizhetsia		Duolingo
двойка	dvoika		Duolingo
двойки	dvoiki		Duolingo
двойку	dvoiku		Duolingo
двор	dvor		Duolingo
дворе	dvore		Duolingo
дворец	dvorets		Duolingo
дворца	dvortsa		Duolingo
дворце	dvortse		Duolingo
двум	dvum		Duolingo
двух	dvukh		Duolingo
двухтысячного	dvukhtysiachnogo		Duolingo
двухтысячном	dvukhtysiachnom		Duolingo
девочек	devochek		Duolingo
девочка	devochka		Duolingo
девочкам	devochkam		Duolingo
девочках	devochkakh		Duolingo
девочке	devochke		Duolingo
девочки	devochki		Duolingo
девочкой	devochkoi		Duolingo
девочку	devochku		Duolingo
девушка	devushka		Duolingo
девушки	devushki		Duolingo
девяносто	devianosto		Duolingo
девятнадцатого	deviatnadtsatogo		Duolingo
девятнадцатом	deviatnadtsatom		Duolingo
девятнадцатый	deviatnadtsatyi		Duolingo
девятнадцать	deviatnadtsat'		Duolingo
девятое	deviatoe		Duolingo
девятый	deviatyi		Duolingo
девять	deviat'		Duolingo
девятьсот	deviat'sot		Duolingo
дедушка	dedushka		Duolingo
дедушки	dedushki		Duolingo
дедушку	dedushku		Duolingo
действия	deistviia		Duolingo
декабрь	dekabr'		Duolingo
декабря	dekabria		Duolingo
дела	dela		Duolingo
делает	delaet		Duolingo
делаете	delaete		Duolingo
делаешь	delaesh'		Duolingo
делал	delal		Duolingo
делать	delat'		Duolingo
делаю	delaiu		Duolingo
дело	delo		Duolingo
дело в том	delo v tom		Duolingo
денег	deneg		Duolingo
день	den'		Duolingo
деньги	den'gi		Duolingo
депутат	deputat		Duolingo
дереве	dereve		Duolingo
деревне	derevne		Duolingo
деревни	derevni		Duolingo
деревня	derevnia		Duolingo
дерево	derevo		Duolingo
дереву	derevu		Duolingo
деревья	derev'ia		Duolingo
деревьям	derev'iam		Duolingo
деревянная	dereviannaia		Duolingo
деревянный	dereviannyi		Duolingo
держит	derzhit		Duolingo
держите	derzhite		Duolingo
держу	derzhu		Duolingo
десерт	desert		Duolingo
десерта	deserta		Duolingo
десяти	desiati		Duolingo
десятое	desiatoe		Duolingo
десятом	desiatom		Duolingo
десятый	desiatyi		Duolingo
десять	desiat'		Duolingo
детей	detei		Duolingo
дети	deti		Duolingo
детская	detskaia		Duolingo
детский	detskii		Duolingo
детям	detiam		Duolingo
детях	detiakh		Duolingo
дешёвая	deshevaia		Duolingo
дешевле	deshevle		Duolingo
дёшево	deshevo		Duolingo
дешёвый	deshevyi		Duolingo
дженни	dzhenni		Duolingo
диван	divan		Duolingo
диване	divane		Duolingo
диваны	divany		Duolingo
дима	dima		Duolingo
директор	direktor		Duolingo
директора	direktora		Duolingo
директором	direktorom		Duolingo
дирижёр	dirizher		Duolingo
дирижёром	dirizherom		Duolingo
диск	disk		Duolingo
диске	diske		Duolingo
дискотеке	diskoteke		Duolingo
дискотеку	diskoteku		Duolingo
длина	dlina		Duolingo
длинная	dlinnaia		Duolingo
длиннее	dlinnee		Duolingo
длинную	dlinnuiu		Duolingo
длинный	dlinnyi		Duolingo
длинных	dlinnykh		Duolingo
длиной	dlinoi		Duolingo
длину	dlinu		Duolingo
для	dlia		Duolingo
дней	dnei		Duolingo
днём	dnem		Duolingo
дня	dnia		Duolingo
до	do		Duolingo
до сих пор	do sikh por		Duolingo
добро пожаловать	dobro pozhalovat'		Duolingo
доброе	dobroe		Duolingo
добрый	dobryi		Duolingo
договор	dogovor		Duolingo
договорились	dogovorilis'		Duolingo
договорился	dogovorilsia		Duolingo
договориться	dogovorit'sia		Duolingo
дождь	dozhd'		Duolingo
дождя	dozhdia		Duolingo
доказана	dokazana		Duolingo
доказано	dokazano		Duolingo
доказательств	dokazatel'stv		Duolingo
доказательства	dokazatel'stva		Duolingo
документ	dokument		Duolingo
документе	dokumente		Duolingo
долгие	dolgie		Duolingo
долгий	dolgii		Duolingo
долго	dolgo		Duolingo
должен	dolzhen		Duolingo
должна	dolzhna		Duolingo
должны	dolzhny		Duolingo
долларов	dollarov		Duolingo
дом	dom		Duolingo
дома	doma		Duolingo
домашнее	domashnee		Duolingo
домашние	domashnie		Duolingo
домашних	domashnikh		Duolingo
доме	dome		Duolingo
домов	domov		Duolingo
домой	domoi		Duolingo
домом	domom		Duolingo
дорога	doroga		Duolingo
дороге	doroge		Duolingo
дорогое	dorogoe		Duolingo
дорогой	dorogoi		Duolingo
дорогу	dorogu		Duolingo
дороже	dorozhe		Duolingo
доска	doska		Duolingo
достаточно	dostatochno		Duolingo
дочерей	docherei		Duolingo
дочери	docheri		Duolingo
дочь	doch'		Duolingo
дракон	drakon		Duolingo
драконов	drakonov		Duolingo
древнего	drevnego		Duolingo
древней	drevnei		Duolingo
древнем	drevnem		Duolingo
древнюю	drevniuiu		Duolingo
древняя	drevniaia		Duolingo
друг	drug		Duolingo
друг друга	drug druga		Duolingo
друг другу	drug drugu		Duolingo
друг с другом	drug s drugom		Duolingo
другая	drugaia		Duolingo
другой	drugoi		Duolingo
другом	drugom		Duolingo
друзей	druzei		Duolingo
друзья	druz'ia		Duolingo
думает	dumaet		Duolingo
думаете	dumaete		Duolingo
думаешь	dumaesh'		Duolingo
думай	dumai		Duolingo
думайте	dumaite		Duolingo
думал	dumal		Duolingo
думала	dumala		Duolingo
думали	dumali		Duolingo
думаю	dumaiu		Duolingo
думая	dumaia		Duolingo
душ	dush		Duolingo
душа	dusha		Duolingo
душе	dushe		Duolingo
души	dushi		Duolingo
дяди	diadi		Duolingo
дядю	diadiu		Duolingo
дядя	diadia		Duolingo
европа	evropa		Duolingo
европе	evrope		Duolingo
европейские	evropeiskie		Duolingo
европейский	evropeiskii		Duolingo
европейских	evropeiskikh		Duolingo
европу	evropu		Duolingo
европы	evropy		Duolingo
его	ego		Duolingo
еда	eda		Duolingo
едем	edem		Duolingo
едет	edet		Duolingo
едете	edete		Duolingo
единственную	edinstvennuiu		Duolingo
единственный	edinstvennyi		Duolingo
едите	edite		Duolingo
еду	edu		Duolingo
едут	edut		Duolingo
еды	edy		Duolingo
едят	ediat		Duolingo
её	ee		Duolingo
ежедневная	ezhednevnaia		Duolingo
ежедневно	ezhednevno		Duolingo
ежедневные	ezhednevnye		Duolingo
ездил	ezdil		Duolingo
ездила	ezdila		Duolingo
ездим	ezdim		Duolingo
ездит	ezdit		Duolingo
ездите	ezdite		Duolingo
ездить	ezdit'		Duolingo
езжу	ezzhu		Duolingo
ей	ei		Duolingo
ем	em		Duolingo
ему	emu		Duolingo
если	esli		Duolingo
ест	est		Duolingo
естественно	estestvenno		Duolingo
естественный	estestvennyi		Duolingo
есть	est'		Duolingo
ехать	ekhat'		Duolingo
ешь	esh'		Duolingo
ешьте	esh'te		Duolingo
ещё	eshche		Duolingo
жалко	zhalko		Duolingo
жаль	zhal'		Duolingo
жарко	zharko		Duolingo
ждал	zhdal		Duolingo
ждала	zhdala		Duolingo
ждали	zhdali		Duolingo
ждать	zhdat'		Duolingo
ждёт	zhdet		Duolingo
ждите	zhdite		Duolingo
жду	zhdu		Duolingo
ждут	zhdut		Duolingo
железная	zheleznaia		Duolingo
железное	zheleznoe		Duolingo
железной	zheleznoi		Duolingo
железную	zheleznuiu		Duolingo
железный	zheleznyi		Duolingo
жёлтая	zheltaia		Duolingo
жёлтые	zheltye		Duolingo
жёлтый	zheltyi		Duolingo
жена	zhena		Duolingo
женился	zhenilsia		Duolingo
женится	zhenitsia		Duolingo
жениться	zhenit'sia		Duolingo
женский	zhenskii		Duolingo
женскую	zhenskuiu		Duolingo
жену	zhenu		Duolingo
женщина	zhenshchina		Duolingo
женщиной	zhenshchinoi		Duolingo
женщины	zhenshchiny		Duolingo
жёсткий диск	zhestkii disk		Duolingo
